"bestand","pagina"
"https://www.duo.nl/open_onderwijsdata/images/01.-hoofdvestigingen-basisonderwijs.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/adressen/adressen-po-1.jsp"
"https://www.duo.nl/open_onderwijsdata/images/01.-hoofdvestigingen-vo.csv","https://www.duo.nl/open_onderwijsdata/databestanden/vo/adressen/adressen-vo-1.jsp"
"https://www.duo.nl/open_onderwijsdata/images/01.-leerlingen-bo-gewicht%2C-leeftijd-2011-2012.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/po-totaal/bo-gewicht-leeftijd.jsp"
"https://www.duo.nl/open_onderwijsdata/images/01.-leerlingen-bo-gewicht%2C-leeftijd-2011-2012.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/bo-sbo/po-owsoort-leeftijd.jsp"
"https://www.duo.nl/open_onderwijsdata/images/01.-leerlingen-bo-gewicht%2C-leeftijd-2012-2013.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/po-totaal/bo-gewicht-leeftijd.jsp"
"https://www.duo.nl/open_onderwijsdata/images/01.-leerlingen-bo-gewicht%2C-leeftijd-2012-2013.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/bo-sbo/po-owsoort-leeftijd.jsp"
"https://www.duo.nl/open_onderwijsdata/images/01.-leerlingen-bo-gewicht%2C-leeftijd-2013-2014.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/po-totaal/bo-gewicht-leeftijd.jsp"
"https://www.duo.nl/open_onderwijsdata/images/01.-leerlingen-bo-gewicht%2C-leeftijd-2013-2014.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/bo-sbo/po-owsoort-leeftijd.jsp"
"https://www.duo.nl/open_onderwijsdata/images/01.-leerlingen-bo-gewicht%2C-leeftijd-2015-2016.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/po-totaal/bo-gewicht-leeftijd.jsp"
"https://www.duo.nl/open_onderwijsdata/images/01.-leerlingen-bo-gewicht%2C-leeftijd-2015-2016.csv","https://www.duo.nl/open_onderwijsdata/databestanden/po/Leerlingen-po/bo-sbo/po-owsoort-leeftijd.jsp"
